route_type;case;origin_destination;departure_time;player;itinerary;leg;duration_leg;modal;line;fare;itinerary_duration
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;1;6;784;SUBWAY;METRÔ L1;748;6754
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;1;7;0;WALK;;748;6754
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;1;8;1620;SUBWAY;METRÔ L5;748;6754
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;1;9;139;WALK;;748;6754
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;2;1;365;WALK;;748;6890
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;2;2;1054;BUS;3754-10;748;6890
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;2;3;0;WALK;;748;6890
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;2;4;2280;SUBWAY;METRÔ L3;748;6890
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;2;5;0;WALK;;748;6890
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;2;6;784;SUBWAY;METRÔ L1;748;6890
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;2;7;0;WALK;;748;6890
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;2;8;1620;SUBWAY;METRÔ L5;748;6890
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;2;9;139;WALK;;748;6890
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;3;1;414;WALK;;748;6929
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;3;2;1023;BUS;3766-10;748;6929
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;3;3;1190;WALK;;748;6929
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;3;4;2280;SUBWAY;METRÔ L3;748;6929
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;3;5;0;WALK;;748;6929
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;3;6;784;SUBWAY;METRÔ L1;748;6929
